AKT,AKT1S1
AKT,MTOR
PTEN,PIK3R1
ATM,TP53
MAP2K7,MAP3K7
CDK2,FOXO1_3
PIK3R1,FOXO1_3
CDKN1A,CCNE
MAPK3,RPS6KB
CHEK,CCNE
MTOR,RPS6KB
AKT,FOXO1_3
PRKA,AKT1S1
AKT,GSK3B
MAP2K7,MAPK8
PRKA,MTOR
AKT,IKK
AKT,AKT1S1
PIK3R1,AKT
MAP2K4,MAPK8
MAPK8,BAD
AKT,CDKN1A
MAPK14,TP53
MAPK14,AKT
MEK12,MAPK3
MAP3K7,PRKA
MAPK8,FOXO1_3
RAF1,BAD
MAP3K7,MAPK8
IKK,IRS1
AKT,MDM2
RPS6KB,IRS1
ATM,CHEK
PRKA,FOXO1_3
MAPK3,FOXO1_3
RAC1,MAPK8
AKT,RAF1
MAP3K7,MAPK14
CDKN1A,CDK2
MAP3K7,MAPK3
RAF1,MEK12
IRS1,PIK3R1
AKT1S1,MTOR
AKT1S1,RPS6KB
IKK,FOXO1_3
MAPK14,FOXO1_3
CHEK,TP53
MEK12,BAD
AKT,CASP9
CHEK,CDK2
AKT,MAPK3
MAPK8,IRS1
AKT,BAD
TP53,MDM2
MAP3K7,MAP2K4
IKK,PTEN
MAP3K7,IKK
MAP3K7,MAP2K7
MDM2,TP53
GF,IRS1
Doxo,ATM
RAC1,MAPK14
ATM,MDM2
FOXO1_3,BCL2L11
MAPK3,BCL2L11
AKT,BCL2L11
AKT,BCL2
BCL2,BAX
BCL2L11,BAX
TP53,BAX
TP53,BCL2
BAX,CASP9
AKT,ASK1
ASK1,MAP2K7
ASK1,MAP3K7
AKT,RAC1
