AKT,AKT1S1
AKT,MTOR
PTEN,PIK3R1
RTK,PIK3R1
RTK,FOXO1_3
PIK3R1,RAC1
ATM,TP53
MAP2K7,MAP3K7
CDK2,FOXO1_3
PIK3R1,FOXO1_3
CDKN1A,CCNE
MAPK3,RPS6KB
CHEK,CCNE
MTOR,TP53
MTOR,RPS6KB
AKT,FOXO1_3
PRKA,AKT1S1
RTK,IRS1
AKT,GSK3B
MAP2K7,MAPK8
PRKA,MTOR
AKT,IKK
AKT,AKT1S1
PIK3R1,AKT
MAP2K4,MAPK8
MAPK8,BAD
AKT,CDKN1A
MAPK14,TP53
MAPK14,AKT
MEK12,MAPK3
MAP3K7,PRKA
MAPK8,FOXO1_3
RAF1,BAD
MAPK3,MAPK14
MAP3K7,MAPK8
IKK,IRS1
AKT,MDM2
RPS6KB,IRS1
ATM,CHEK
PRKA,FOXO1_3
MAPK3,FOXO1_3
RAC1,MAPK8
AKT,RAF1
MAP3K7,MAPK14
AKT,MAP2K4
CDKN1A,CDK2
MAP3K7,MAPK3
RAF1,MEK12
RAC1,PIK3R1
IRS1,PIK3R1
AKT1S1,MTOR
AKT1S1,RPS6KB
IKK,FOXO1_3
MAPK14,FOXO1_3
AKT,MAP2K4
AKT,MAP2K7
RTK,MEK12
CHEK,TP53
MEK12,BAD
AKT,CASP9
CHEK,CDK2
AKT,MAPK3
MAPK8,IRS1
AKT,BAD
TP53,MDM2
MAP3K7,MAP2K4
IKK,PTEN
MAP3K7,IKK
MAP3K7,MAP2K7
MDM2,TP53
GF,RTK
Doxo,ATM
RAC1,MAPK14
ATM,MDM2
FOXO1_3,BIM
MAPK3,BIM
AKT,BIM
AKT,BCL2
BCL2,BAX
BIM,BAX
TP53,BAX
TP53,BCL2
BAX,CASP9
