,AL,AMMC,CCP,CMP,CVLP,DLP,DMP,EB,FB,IDFP,LH,LOB,LOP,MB,MED,NOD,OG,OPTU,PAN,PCB,SDFP,SOG,SPP,VLP-D,VLP-V,VMP,al,ammc,ccp,cmp,cvlp,dlp,dmp,idfp,lh,lob,lop,mb,med,nod,og,optu,pan,sdfp,sog,spp,vlp-d,vlp-v,vmp
AL,0,23.3195659647,63.4220864879,1,115.9714322218,97.9263947876,278.0734893777,21.6943129405,51.0913231155,199.3160525779,2354.0811240427,0,0,748.9634865343,0,6.5604779323,0,27.7172196321,93.0031639021,11.5285967174,178.080316516,62.198242351,541.8334744749,280.5562006751,2,73.5435610825,302.0116689155,0,21.3605279532,0,9.3005630797,18.7261622014,46.6040734003,65.1546704511,120.5691718448,0,0,84.7331718767,0,10.8125708435,0,9.6091535302,12.4871799805,127.3452160316,31.1884700621,66.6856524787,4.8284271247,0,34.4618199534
AMMC,35.0251792339,0,96.4792161857,149.2827176305,964.5470501607,65.5380723052,237.0347879397,4.6904157598,15.2238096873,27.2097156698,112.6398914117,46.8189743031,10.0566061279,30.0481329772,149.5054203676,3.1462643699,6.1090513237,0,8.6139037458,1.4142135624,50.0579896082,229.1256185271,145.1665097931,243.8820284364,49.0794434323,255.4959113947,8.1199297469,526.8388353831,76.9008407216,95.8634026786,929.4968730152,3.4641016151,132.9204268714,42.4340460423,19.4607773798,2.2360679775,0,8.322473089,66.3640390815,0,11.0471341098,0,4.3588989435,10.7126814316,110.8340564156,22.6602340409,223.3521337734,60.9720847669,236.8493057294
CCP,15.1558709491,98.7159481699,0,99.0462686969,334.1767618498,56.4085857299,842.8646238911,30.6735506317,151.7842256238,192.8175524511,54.1513858032,217.2325295805,19.4315244127,50.6882486208,246.8029734258,10.1815405504,9.2426406871,50.9929317395,38.6863929983,38.1961047934,170.1003795107,135.1789754206,240.1416022682,269.9913921014,16.837182345,551.9249187275,4.582575695,70.8706909019,1027.9766196386,38.6614487695,141.3633711922,38.3536379816,1598.9382232665,250.8281216879,27.4932835673,96.9313618043,12.1590669175,21.3458069353,241.2946578126,28.1968248827,6.2360679775,35.4676827361,7.2222425336,116.0901188678,75.5625915013,105.2690253424,281.7460684259,25.6537304857,586.8154058499
CMP,10.4142135624,73.9384521746,64.9162809201,0,253.5228422249,39.4142511689,281.944745206,10.6568542495,21.2388431307,97.8951256654,54.7975204583,161.8785327011,107.3213800031,52.6728607987,372.1339545717,3,1,12.4334612785,4.4494897428,5.611767403,40.8541847674,119.9779179758,112.7988019961,158.4475481415,6.6921304299,151.2168311011,1.4142135624,87.3887785914,48.8604410502,84.4277995838,285.0198604796,0,67.1377954439,18.4841461109,0,8.4641016151,8.4852813742,5.8284271247,25.7725195367,3.7320508076,0,0,2,1,71.4145506871,13.4594574179,28.0062552718,3.4641016151,176.6679113002
CVLP,50.8344984711,268.6718704912,350.10113688,314.7570861102,0,150.5953803659,1250.9911566265,59.6240190594,172.8100379162,459.0389913426,211.8860295147,365.0920682048,395.5797280864,125.9318531707,991.5292334388,34.8372906167,21.2196894931,105.9148770125,32.0403428651,11.0678288438,185.6302034634,343.0627822594,441.9478850456,884.0749726469,138.3103785193,645.6239467893,5.2915026221,236.8872826789,612.3459206549,162.2139074164,1874.0060591533,9.1414284285,808.6249208748,131.2065412755,6.6568542495,42.8122721975,16.373203131,21.0019735507,6.5764912225,27.4271074027,6.6103659851,8.0622577483,2,19.1734871138,121.1555549771,74.5150033034,349.5324335054,54.9825779734,763.6985266776
DLP,41.9266485771,22.0218472261,132.2806467204,5.4142135624,28.2611923026,0,203.0849450317,24.6339145919,166.2360253361,66.661074722,230.717556294,44.6538284241,0,171.9559998903,18.6731005391,5.2426406871,0,95.6362220478,22.3249685843,0,1225.2698535309,120.3074462369,180.7971447974,154.1993872507,8.6263792753,117.5422565702,42.6147808118,3.4641016151,39.7442697628,0,12.7320508076,334.2782810463,113.7279272332,62.4861130671,45.2593488379,1,0,161.1307568879,0,4.6457513111,7.0710678119,40.3345369529,4.7320508076,475.0385307184,125.6210802202,97.672858715,112.6674690747,18.7082869339,57.2439054036
DMP,172.5469603755,170.9801622603,732.2661314433,229.4208465778,623.5556535323,399.5306492825,0,214.151996631,555.4116130451,630.8321715837,451.1658577634,567.7504102929,139.5967486869,447.935175054,663.0314295987,89.8107768561,38.0385986574,260.3964847002,111.7304540666,17.0373973492,793.6394930085,650.1171147601,1007.9300903928,1040.010687361,53.7608427446,1493.2881849142,20.906398836,93.9387031292,1227.4228182685,78.6974844193,281.124882912,121.4068703649,2505.273851029,341.6230638036,47.5789305917,34.5774067129,5.6568542495,84.3872031493,6.6310302931,56.3443951646,5.9907047849,47.7157483649,8.5447307966,217.6008143973,330.7908535528,284.4046033896,624.4556639356,30.333289001,1389.8760138989
EB,12.9614813968,1,25.4534001593,2.4494897428,27.8254002052,0,55.1537033598,0,645.3926097363,221.8669688998,4.2426406871,0,0,102.6799769554,0,20.0651723851,0,10.2173321818,2.6457513111,22.3363749494,104.5379399982,14.194034251,3.8637033052,1.4142135624,0,10.9967892573,3.4142135624,3.8284271247,39.0480507149,0,28.0605009104,5.1462643699,124.3206447972,307.8279574738,14.5661978004,0,0,65.0592348072,0,21.41687957,0,1,1.4142135624,56.4646212905,16.7969405952,16.892922227,22.8664784584,0,23.9050158445
FB,63.4066141278,21.9366829929,101.7523132904,14.7772946631,692.0115406391,62.7796315138,1539.2057747931,766.0767109967,0,3725.3971589211,26.5086953329,25.0817632275,0,220.3839025714,4.582575695,63.4329401723,1.4142135624,39.3870303889,6.1815405504,15.3090476653,758.9977947521,118.6690926873,120.703271768,127.9464651299,1,165.7128625928,16.3774218059,34.5583164081,117.4704600777,14.3601063821,767.4263268496,72.7124980459,2324.9822865074,4476.6457534637,37.4264012062,21.2514359077,0,163.1532234585,2,63.3784802909,0,21.980028683,2,741.065463215,86.2462447492,121.3081499508,227.4106464674,3.7320508076,196.185649027
IDFP,254.8833064133,19.82749408,146.003283561,44.0951527455,174.1361685875,46.1309432517,403.0273877889,188.2145943544,700.1971319079,0,390.3944883417,11.0453610172,0,440.5550277409,3.1622776602,60.6502610533,0,29.2727342264,46.0950859596,10.4594574179,401.9007118953,234.0717534616,80.036440181,64.1792900578,0,472.7801371348,75.9596719911,24.8166266255,156.0634253876,19.8231574911,54.5342626563,21.0548352607,433.8587265027,307.5163018036,28.9296489588,1,0,209.2226282234,0,58.9795851299,1.4142135624,34.9645386213,3.4641016151,200.0449796992,173.6504895374,43.4281852329,33.1282612466,5.2915026221,457.0171547007
